               Filename        x         y0      dy    ny               v0    dv    nv  
  nii001-100.0wcsb.fits   -100.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii002-98.0wcsb.fits    -98.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii003-96.0wcsb.fits    -96.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii004-94.0wcsb.fits    -94.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii005-92.0wcsb.fits    -92.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii006-90.0wcsb.fits    -90.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii007-88.0wcsb.fits    -88.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii008-86.0wcsb.fits    -86.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii009-84.0wcsb.fits    -84.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii010-82.0wcsb.fits    -82.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii011-80.0wcsb.fits    -80.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii012-78.0wcsb.fits    -78.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii013-76.0wcsb.fits    -76.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii014-74.0wcsb.fits    -74.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii015-72.0wcsb.fits    -72.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii016-70.0wcsb.fits    -70.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii017-68.0wcsb.fits    -68.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii018-66.0wcsb.fits    -66.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii019-64.0wcsb.fits    -64.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii020-62.0wcsb.fits    -62.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii021-60.0wcsb.fits    -60.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii022-58.0wcsb.fits    -58.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii023-56.0wcsb.fits    -56.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii024-54.0wcsb.fits    -54.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii025-52.0wcsb.fits    -52.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii026-50.0wcsb.fits    -50.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii027-48.0wcsb.fits    -48.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii028-46.0wcsb.fits    -46.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii029-44.0wcsb.fits    -44.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii030-42.0wcsb.fits    -42.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii031-40.0wcsb.fits    -40.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii032-38.0wcsb.fits    -38.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii033-36.0wcsb.fits    -36.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii034-34.0wcsb.fits    -34.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii035-32.0wcsb.fits    -32.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii036-30.0wcsb.fits    -30.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii037-28.0wcsb.fits    -28.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii038-26.0wcsb.fits    -26.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii039-24.0wcsb.fits    -24.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii040-22.0wcsb.fits    -22.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii041-20.0wcsb.fits    -20.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii042-18.0wcsb.fits    -18.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii043-16.0wcsb.fits    -16.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii044-14.0wcsb.fits    -14.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii045-12.0wcsb.fits    -12.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii046-10.0wcsb.fits    -10.0   -167.676   0.534   514   -279.265078246   4.0   151  
    nii047-8.0wcsb.fits     -8.0   -167.676   0.534   514   -279.265078246   4.0   151  
    nii048-6.0wcsb.fits     -6.0   -167.676   0.534   514   -279.265078246   4.0   151  
    nii049-4.0wcsb.fits     -4.0   -167.676   0.534   514   -279.265078246   4.0   151  
    nii050-2.0wcsb.fits     -2.0   -167.676   0.534   514   -279.265078246   4.0   151  
    nii051+0.0wcsb.fits      0.0   -167.676   0.534   514   -279.265078246   4.0   151  
    nii052+2.0wcsb.fits      2.0   -167.676   0.534   514   -279.265078246   4.0   151  
    nii053+4.0wcsb.fits      4.0   -167.676   0.534   514   -279.265078246   4.0   151  
    nii054+6.0wcsb.fits      6.0   -167.676   0.534   514   -279.265078246   4.0   151  
    nii055+8.0wcsb.fits      8.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii056+10.0wcsb.fits     10.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii057+12.0wcsb.fits     12.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii058+14.0wcsb.fits     14.0   -167.676   0.534   514   -279.265078246   4.0   151  
   nii059+16.0wcsb.fits     16.0   -167.676   0.534   514   -279.265078246   4.0   151  
