Filename	x	y0	dy	ny	v0	dv	nv
ha001-100.0wcsb.fits	-100.0	-167.676	0.534	514	-282.270755297	4.0	151
ha002-98.0wcsb.fits	-98.0	-167.676	0.534	514	-282.251555297	4.0	151
ha003-96.0wcsb.fits	-96.0	-167.676	0.534	514	-282.233955297	4.0	151
ha004-94.0wcsb.fits	-94.0	-167.676	0.534	514	-282.217955297	4.0	151
ha005-92.0wcsb.fits	-92.0	-167.676	0.534	514	-282.203555297	4.0	151
ha006-90.0wcsb.fits	-90.0	-167.676	0.534	514	-282.190755297	4.0	151
ha007-88.0wcsb.fits	-88.0	-167.676	0.534	514	-282.179555297	4.0	151
ha008-86.0wcsb.fits	-86.0	-167.676	0.534	514	-282.169955297	4.0	151
ha009-84.0wcsb.fits	-84.0	-167.676	0.534	514	-282.161955297	4.0	151
ha010-82.0wcsb.fits	-82.0	-167.676	0.534	514	-282.155555297	4.0	151
ha011-80.0wcsb.fits	-80.0	-167.676	0.534	514	-282.150755297	4.0	151
ha012-78.0wcsb.fits	-78.0	-167.676	0.534	514	-282.147555297	4.0	151
ha013-76.0wcsb.fits	-76.0	-167.676	0.534	514	-282.145955297	4.0	151
ha014-74.0wcsb.fits	-74.0	-167.676	0.534	514	-282.145955297	4.0	151
ha015-72.0wcsb.fits	-72.0	-167.676	0.534	514	-282.147555297	4.0	151
ha016-70.0wcsb.fits	-70.0	-167.676	0.534	514	-282.150755297	4.0	151
ha017-68.0wcsb.fits	-68.0	-167.676	0.534	514	-282.155555297	4.0	151
ha018-66.0wcsb.fits	-66.0	-167.676	0.534	514	-282.161955297	4.0	151
ha019-64.0wcsb.fits	-64.0	-167.676	0.534	514	-282.169955297	4.0	151
ha020-62.0wcsb.fits	-62.0	-167.676	0.534	514	-282.179555297	4.0	151
ha021-60.0wcsb.fits	-60.0	-167.676	0.534	514	-282.190755297	4.0	151
ha022-58.0wcsb.fits	-58.0	-167.676	0.534	514	-282.203555297	4.0	151
ha023-56.0wcsb.fits	-56.0	-167.676	0.534	514	-282.217955297	4.0	151
ha024-54.0wcsb.fits	-54.0	-167.676	0.534	514	-282.233955297	4.0	151
ha025-52.0wcsb.fits	-52.0	-167.676	0.534	514	-282.251555297	4.0	151
ha026-50.0wcsb.fits	-50.0	-167.676	0.534	514	-282.270755297	4.0	151
ha027-48.0wcsb.fits	-48.0	-167.676	0.534	514	-282.291555297	4.0	151
ha028-46.0wcsb.fits	-46.0	-167.676	0.534	514	-282.313955297	4.0	151
ha029-44.0wcsb.fits	-44.0	-167.676	0.534	514	-282.337955297	4.0	151
ha030-42.0wcsb.fits	-42.0	-167.676	0.534	514	-282.363555297	4.0	151
ha031-40.0wcsb.fits	-40.0	-167.676	0.534	514	-282.390755297	4.0	151
ha032-38.0wcsb.fits	-38.0	-167.676	0.534	514	-282.419555297	4.0	151
ha033-36.0wcsb.fits	-36.0	-167.676	0.534	514	-282.449955297	4.0	151
ha034-34.0wcsb.fits	-34.0	-167.676	0.534	514	-282.481955297	4.0	151
ha035-32.0wcsb.fits	-32.0	-167.676	0.534	514	-282.515555297	4.0	151
ha036-30.0wcsb.fits	-30.0	-167.676	0.534	514	-282.550755297	4.0	151
ha037-28.0wcsb.fits	-28.0	-167.676	0.534	514	-282.587555297	4.0	151
ha038-26.0wcsb.fits	-26.0	-167.676	0.534	514	-282.625955297	4.0	151
ha039-24.0wcsb.fits	-24.0	-167.676	0.534	514	-282.665955297	4.0	151
ha040-22.0wcsb.fits	-22.0	-167.676	0.534	514	-282.707555297	4.0	151
ha041-20.0wcsb.fits	-20.0	-167.676	0.534	514	-282.750755297	4.0	151
ha042-18.0wcsb.fits	-18.0	-167.676	0.534	514	-282.795555297	4.0	151
ha043-16.0wcsb.fits	-16.0	-167.676	0.534	514	-282.841955297	4.0	151
ha044-14.0wcsb.fits	-14.0	-167.676	0.534	514	-282.889955297	4.0	151
ha045-12.0wcsb.fits	-12.0	-167.676	0.534	514	-282.939555297	4.0	151
ha046-10.0wcsb.fits	-10.0	-167.676	0.534	514	-282.990755297	4.0	151
ha047-8.0wcsb.fits	-8.0	-167.676	0.534	514	-283.043555297	4.0	151
ha048-6.0wcsb.fits	-6.0	-167.676	0.534	514	-283.097955297	4.0	151
ha049-4.0wcsb.fits	-4.0	-167.676	0.534	514	-283.153955297	4.0	151
ha050-2.0wcsb.fits	-2.0	-167.676	0.534	514	-283.211555297	4.0	151
