Filename	x	y0	dy	ny	v0	dv	nv
siis083+72.5wcsb.fits	72.5	-168.12	0.534	505	-416.132217518	1.0	800
siis084+73.8wcsb.fits	73.8	-187.359	0.313	1024	-305.395415052	2.0	300
siis085+74.0wcsb.fits	74.0	-167.848	0.534	505	-416.284417518	1.0	800
siis086+77.5wcsb.fits	77.5	-168.382	0.534	505	-416.660117518	1.0	800
siis087+79.5wcsb.fits	79.5	-168.382	0.534	505	-415.777417518	1.0	800
siis088+81.6wcsb.fits	81.6	-167.848	0.534	505	-415.855717518	1.0	800
siis089+83.5wcsb.fits	83.5	-168.382	0.534	505	-418.029217518	1.0	800
siis090+86.2wcsb.fits	86.2	-186.988	0.62	512	-305.468715052	2.0	300
siis091+87.6wcsb.fits	87.6	-215.148	0.312	1024	-306.839115052	2.0	300
siis092+89.2wcsb.fits	89.2	-188.54	0.627	512	-304.419315052	2.0	300
