Filename	x	y0	dy	ny	v0	dv	nv
oi001-107.2wcsb.fits	-107.2	-228.503	0.623	512	-251.160100874	2.0	300
oi002-101.9wcsb.fits	-101.9	-209.882	0.623	512	-251.263100874	2.0	300
oi003-98.0wcsb.fits	-98.0	-229.533	0.623	512	-252.212100874	2.0	300
oi004-99.6wcsb.fits	-99.6	-231.15	0.623	512	-251.124100874	2.0	300
oi005-96.3wcsb.fits	-96.3	-212.147	0.623	512	-251.421100874	2.0	300
oi006-94.2wcsb.fits	-94.2	-211.348	0.622	512	-251.385100874	2.0	300
oi007-91.8wcsb.fits	-91.8	-212.881	0.623	512	-251.127100874	2.0	300
oi008-89.2wcsb.fits	-89.2	-210.887	0.623	512	-251.505100874	2.0	300
oi009-88.2wcsb.fits	-88.2	-211.676	0.623	512	-251.676100874	2.0	300
oi010-85.5wcsb.fits	-85.5	-212.576	0.624	512	-251.440100874	2.0	300
oi011-84.3wcsb.fits	-84.3	-213.068	0.624	512	-251.758100874	2.0	300
oi012-80.5wcsb.fits	-80.5	-181.787	0.621	512	-250.736100874	2.0	300
oi013-78.1wcsb.fits	-78.1	-181.8	0.622	512	-252.184100874	2.0	300
oi014-74.1wcsb.fits	-74.1	-182.962	0.622	512	-252.485100874	2.0	300
oi015-72.4wcsb.fits	-72.4	-192.608	0.624	512	-253.016100874	2.0	300
oi016-68.9wcsb.fits	-68.9	-185.198	0.622	512	-252.678100874	2.0	300
oi017-66.4wcsb.fits	-66.4	-184.39	0.622	512	-252.906100874	2.0	300
oi018-63.4wcsb.fits	-63.4	-184.838	0.622	512	-252.635100874	2.0	300
oi019-59.1wcsb.fits	-59.1	-183.758	0.622	512	-252.470100874	2.0	300
oi020-54.3wcsb.fits	-54.3	-183.317	0.623	512	-252.922100874	2.0	300
oi021-48.4wcsb.fits	-48.4	-182.497	0.625	512	-253.245100874	2.0	300
oi022-43.9wcsb.fits	-43.9	-176.094	0.622	512	-252.973100874	2.0	300
oi023-40.8wcsb.fits	-40.8	-191.716	0.625	512	-253.589100874	2.0	300
oi024-40.5wcsb.fits	-40.5	-191.9	0.311	1024	-272.022606831	2.0	300
oi025-37.6wcsb.fits	-37.6	-195.662	0.622	512	-252.884100874	2.0	300
oi026-32.6wcsb.fits	-32.6	-204.204	0.622	512	-252.981100874	2.0	300
oi027-29.2wcsb.fits	-29.2	-203.814	0.623	512	-252.718100874	2.0	300
oi028-28.8wcsb.fits	-28.8	-197.438	0.622	512	-269.119606831	2.0	300
oi029-23.6wcsb.fits	-23.6	-196.546	0.622	512	-251.968100874	2.0	300
oi030-18.1wcsb.fits	-18.1	-196.402	0.622	512	-252.336100874	2.0	300
oi031-14.4wcsb.fits	-14.4	-198.15	0.622	512	-252.487100874	2.0	300
oi032-11.4wcsb.fits	-11.4	-198.797	0.621	512	-271.173606831	2.0	300
oi033-11.1wcsb.fits	-11.1	-193.94	0.624	512	-253.545100874	2.0	300
oi034-7.5wcsb.fits	-7.5	-200.603	0.623	512	-251.729100874	2.0	300
oi035-4.3wcsb.fits	-4.3	-198.362	0.622	512	-272.322606831	2.0	300
oi036-3.8wcsb.fits	-3.8	-200.758	0.623	512	-253.170100874	2.0	300
oi037+0.9wcsb.fits	0.9	-207.008	0.623	512	-254.326100874	2.0	300
oi038+2.1wcsb.fits	2.1	-231.481	0.625	512	-251.647100874	2.0	300
oi039+6.8wcsb.fits	6.8	-207.57	0.623	512	-254.475100874	2.0	300
oi040+12.8wcsb.fits	12.8	-209.786	0.622	512	-254.578100874	2.0	300
oi041+18.2wcsb.fits	18.2	-209.151	0.623	512	-251.972100874	2.0	300
oi042+22.2wcsb.fits	22.2	-216.193	0.623	512	-252.708100874	2.0	300
oi043+27.2wcsb.fits	27.2	-215.694	0.622	512	-253.434100874	2.0	300
oi044+30.7wcsb.fits	30.7	-215.185	0.623	512	-253.813100874	2.0	300
oi045+32.7wcsb.fits	32.7	-216.408	0.622	512	-253.202100874	2.0	300
oi046+38.5wcsb.fits	38.5	-215.545	0.623	512	-253.487100874	2.0	300
oi047+43.1wcsb.fits	43.1	-215.466	0.625	512	-253.601100874	2.0	300
oi048+46.1wcsb.fits	46.1	-195.454	0.623	512	-254.656100874	2.0	300
oi049+49.9wcsb.fits	49.9	-221.266	0.623	512	-254.229100874	2.0	300
oi050+51.9wcsb.fits	51.9	-221.664	0.622	512	-255.247100874	2.0	300
oi051+56.4wcsb.fits	56.4	-195.538	0.622	512	-253.867100874	2.0	300
oi052+60.2wcsb.fits	60.2	-220.476	0.622	512	-253.358100874	2.0	300
oi053+64.6wcsb.fits	64.6	-199.202	0.622	512	-253.372100874	2.0	300
oi054+66.4wcsb.fits	66.4	-220.856	0.623	512	-243.082100874	2.0	300
oi055+68.8wcsb.fits	68.8	-178.178	0.622	512	-252.866100874	2.0	300
oi056+71.7wcsb.fits	71.7	-197.528	0.621	512	-253.319100874	2.0	300
oi057+75.2wcsb.fits	75.2	-201.746	0.623	512	-254.114100874	2.0	300
oi058+77.2wcsb.fits	77.2	-201.386	0.623	512	-253.270100874	2.0	300
oi059+80.5wcsb.fits	80.5	-200.934	0.622	512	-253.381100874	2.0	300
oi060+85.0wcsb.fits	85.0	-202.496	0.624	512	-253.766100874	2.0	300
