                Filename        x         y0      dy     ny               v0    dv    nv  
  siil001-100.5wcsb.fits   -100.5   -179.324   0.534    505     -417.4539259   1.0   800  
   siil002-98.5wcsb.fits    -98.5   -179.324   0.534    505     -417.3562259   1.0   800  
   siil003-96.4wcsb.fits    -96.4   -179.324   0.534    505     -414.0262259   1.0   800  
   siil004-94.5wcsb.fits    -94.5   -179.324   0.534    505     -416.2112259   1.0   800  
   siil005-92.6wcsb.fits    -92.6   -179.324   0.534    505     -415.0228259   1.0   800  
   siil006-90.5wcsb.fits    -90.5   -179.324   0.534    505     -415.7646259   1.0   800  
   siil007-88.5wcsb.fits    -88.5   -179.324   0.534    505     -413.5293259   1.0   800  
   siil008-86.4wcsb.fits    -86.4   -179.324   0.534    505     -415.7405259   1.0   800  
   siil009-84.5wcsb.fits    -84.5   -179.324   0.534    505     -420.2905259   1.0   800  
   siil010-82.6wcsb.fits    -82.6   -179.324   0.534    505     -415.1319259   1.0   800  
   siil011-80.7wcsb.fits    -80.7   -190.088    0.31   1024   -276.163313011   2.0   300  
   siil012-78.5wcsb.fits    -78.5   -179.324   0.534    505     -417.2326259   1.0   800  
   siil013-74.5wcsb.fits    -74.5   -178.858   0.534    505     -417.7239259   1.0   800  
   siil014-70.5wcsb.fits    -70.5   -178.858   0.534    505     -417.2917259   1.0   800  
   siil015-66.5wcsb.fits    -66.5   -209.594   0.311   1024   -280.258213011   2.0   300  
   siil016-64.6wcsb.fits    -64.6   -201.894    0.31   1024   -284.559613011   2.0   300  
   siil017-62.0wcsb.fits    -62.0    -214.19   0.622    512   -241.167613011   2.0   300  
   siil018-57.0wcsb.fits    -57.0   -213.809   0.621    512   -241.913813011   2.0   300  
   siil019-54.1wcsb.fits    -54.1   -214.214   0.623    512   -241.844913011   2.0   300  
   siil020-51.9wcsb.fits    -51.9   -189.449   0.311   1024   -278.104413011   2.0   300  
   siil021-50.8wcsb.fits    -50.8   -214.078   0.623    512   -240.571013011   2.0   300  
   siil022-48.4wcsb.fits    -48.4   -233.564   0.312   1024   -261.065513011   2.0   300  
   siil023-46.5wcsb.fits    -46.5   -215.672   0.624    512   -241.523213011   2.0   300  
   siil024-42.9wcsb.fits    -42.9   -230.739   0.311   1024   -276.614613011   2.0   300  
   siil025-40.5wcsb.fits    -40.5   -195.833   0.311   1024   -279.360213011   2.0   300  
