0010     0.0008    -0.6234    -0.2074    -0.4411      5     64  32
0011    -0.1058    -0.6261    -0.1887    -0.5538      4     64  32
0012    -0.0469    -0.6771    -0.1843    -0.5536      4     64  32
0013     0.0178    -0.7119    -0.0069    -0.6925      4     64  32
0014    -0.0259    -0.7313     0.0445    -0.7998      4     64  32
0015    -0.0609    -0.7419    -0.0277    -0.7767      4     64  32
0016    -0.0533    -0.7591    -0.0685    -0.7482      4     64  32
0017    -0.0870    -0.7455    -0.0537    -0.7795      4     64  32
0018    -0.0963    -0.7244    -0.1101    -0.7144      4     64  32
0019    -0.1054    -0.6980    -0.1482    -0.6606      4     64  32
0020    -0.0566    -0.6983    -0.1067    -0.6547      4     64  32
0021     0.0068    -0.7125    -0.0625    -0.6508      4     64  32
0022     0.0304    -0.7095    -0.0228    -0.6624      4     64  32
0023     0.0578    -0.7111     0.0164    -0.6754      4     64  32
0024     0.1213    -0.7385     0.0666    -0.6901      4     64  32
0025     0.1081    -0.7347     0.0521    -0.6855      4     64  32
0026     0.1315    -0.7434     0.0858    -0.7039      4     64  32
0027     0.1405    -0.7458     0.1082    -0.7179      4     64  32
0028     0.1403    -0.7401     0.1107    -0.7153      4     64  32
0029     0.1786    -0.7504     0.1513    -0.7270      4     64  32
0030     0.2194    -0.7627     0.2026    -0.7483      4     64  32
