          10 -1.0527701E-02  -1.788257              12          64
          11 -0.2113105      -1.709824               9          64
          12 -0.1526203      -1.776089               7          64
          13 -0.2872840      -1.754257               6          64
          14 -0.3159510      -1.768931               5          64
          15 -0.2970538      -1.759226               5          64
          16 -0.2092173      -1.800089               4          64
          17 -0.2504913      -1.792080               4          64
          18 -0.2713928      -1.725312               3          64
          19 -0.2959888      -1.666945               3          64
          20 -0.2173351      -1.717874               3          64
          21 -0.1485542      -1.747928               3          64
          22 -0.1505174      -1.749217               3          64
          23 -0.1164964      -1.782645               3          64
          24 -0.1470251      -1.775649               3          64
          25 -0.1385121      -1.764401               3          64
          26 -0.1441488      -1.785997               3          64
          27 -0.1420623      -1.793570               3          64
          28 -0.1475084      -1.783912               3          64
          29 -0.1288580      -1.806588               3          64
          30 -8.0995589E-02  -1.841860               2          64
