0010    -0.4412     0.4972     10     30    -0.6624     0.6956     10     11
0011    -0.1876     0.2843     10     37    -0.4095     0.4800     10     14
0012    -0.2058     0.3101     10     45    -0.3495     0.4359     10     12
0013    -0.0978     0.2266     10     53    -0.3940     0.4777     10     14
0014    -0.1524     0.2422     10     60    -0.3038     0.3653     10     16
0015    -0.1060     0.2148     10     67    -0.3241     0.3909     10     17
0016    -0.2233     0.2843     10     74    -0.3981     0.4247     10     12
0017    -0.2998     0.3029     10     83    -0.4587     0.4273     10     16
0018    -0.3244     0.3034     10     91    -0.4632     0.4133     10     16
0019    -0.3805     0.3284     10     98    -0.4702     0.4030     10     12
0020    -0.5167     0.3896     10    103    -0.5418     0.4154     10     15
0021    -0.5345     0.3872     10    108    -0.5246     0.3848     10     19
0022    -0.6000     0.4115     10    112    -0.6227     0.4318     10     18
0023    -0.6343     0.4170     10    114    -0.6321     0.4209     10     19
0024    -0.5853     0.3855     10    117    -0.6131     0.4128     10     24
0025    -0.5968     0.3882     10    117    -0.6614     0.4434     10     22
0026    -0.5781     0.3797     10    118    -0.6225     0.4157     10     25
0027    -0.5666     0.3716     10    120    -0.5692     0.3750     10     28
0028    -0.6134     0.3898     10    120    -0.6115     0.3885     10     22
0029    -0.6187     0.3921     10    121    -0.6166     0.3923     10     31
0030    -0.6336     0.4022     10    124    -0.6657     0.4249     10     35
