          10  1.0985753E-02  -1.769067              12          64
          11 -0.2202369      -1.660342               9          64
          12 -0.1341397      -1.749366               7          64
          13 -0.2908835      -1.721302               6          64
          14 -0.3126264      -1.742658               5          64
          15 -0.3347982      -1.698805               5          64
          16 -0.2338192      -1.752030               4          64
          17 -0.2672900      -1.748259               4          64
          18 -0.2795166      -1.681042               3          64
          19 -0.3049420      -1.628789               3          64
          20 -0.2399927      -1.669076               3          64
          21 -0.1742925      -1.695917               3          64
          22 -0.1798381      -1.694188               3          64
          23 -0.1503823      -1.726015               3          64
          24 -0.1777450      -1.721520               3          64
          25 -0.1557920      -1.720574               3          64
          26 -0.1550039      -1.743126               3          64
          27 -0.1836612      -1.729804               3          64
          28 -0.1910553      -1.716266               3          64
          29 -0.1707857      -1.743886               3          64
          30 -0.1082255      -1.790913               2          64
