amplitude_0	mean_0	stddev_0	amplitude_1	mean_1	stddev_1	amplitude_2	mean_2	stddev_2	amplitude_3	mean_3	stddev_3	amplitude_4
57.348733190933125	3.081380327368403	4.0	98.0167154995499	15.714553044326028	4.0	217.88862597689138	26.589824219047237	4.0	29.252343750671802	35.0	7.0	7.144694033835498
60.863602431362814	2.834378487591463	4.0	106.60009528535645	15.710629083465824	4.0	237.11399794270338	26.40645771203233	4.0	32.32109724651845	35.0	7.0	6.323348184313976
57.41660603703352	2.506843800524422	4.0	117.20210165640977	15.976753687161208	4.0	261.87638430366155	26.350540652920582	4.0	32.86117882782751	35.0	7.0	6.606238305117451
50.8741621289641	2.5711600392658056	4.0	120.54541693359437	16.13475673398424	4.0	230.43962658031188	26.64888207282608	4.0	34.16131954432549	35.0	7.0	6.109543277637316
46.64117335271622	2.1226810409443715	4.0	120.31275946426439	15.04303653858833	4.0	270.82838648187845	25.935854376188587	4.0	29.380425600605403	35.63987964955479	7.0	5.9362448801075915
44.666357188558756	1.7042035558809256	4.0	108.34062103645616	14.459130971946072	4.0	270.1870713284099	24.25495989712936	4.0	36.53583597038121	35.0	7.0	6.081117251218001
42.852626507393595	1.374650918179469	4.0	86.365264695788	13.694210964355047	4.0	269.5602187571957	23.231664548557013	4.0	39.386916465998446	35.0	7.0	5.840126157433918
49.58870260253465	1.6654077458192216	4.0	87.17939748944451	14.988350955146807	4.0	262.25664739900424	22.700718160623914	4.0	45.776775850460645	35.0	7.0	5.932430050732549
49.36125860689326	3.168592578785091	4.0	125.49476533065999	17.36356518405364	4.0	211.00794016826796	23.614515347221445	4.0	38.455710938296164	35.0	7.0	6.646115939708148
47.0941578589703	2.2016559615553413	4.0	85.54378009476626	15.179508111406452	4.0	261.48969591464214	23.41563772037367	4.0	41.29919519891944	35.0	7.0	5.907471982179134
47.219165277106306	2.8763848068805746	4.0	100.0897036783828	15.42125550232601	4.0	235.7188088740894	24.587424772308626	4.0	41.8939069261693	35.0	7.0	6.678212513530483
46.196789503861055	2.464425240709186	4.0	99.26397978901389	14.610518297220143	4.0	245.13711930395465	24.979352535326065	4.0	41.48080118665275	35.0	7.0	6.8427140731944265
44.275730655172566	3.7275305380828954	4.0	96.32053074649623	16.076135812049365	4.0	237.78355386166936	24.763732959155234	4.0	40.49479713406724	35.0	7.0	7.24349264673302
46.72146537671148	2.598406920109053	4.0	92.39084786405677	16.289516538249984	4.0	320.16017705523456	25.215967722666022	4.0	40.14442702915569	35.0	7.0	6.761998659776077
56.38445564940382	2.604818048132971	4.0	108.75266483606619	17.35458213266749	4.0	348.9459009352947	24.392334347632644	4.0	47.53291514997901	35.0	7.0	6.9078235321993375
63.145855596681756	3.182805072618712	4.0	209.9084892702654	18.97185130239097	4.0	155.98622828725235	24.87118400066092	4.0	48.30178219126327	35.0	7.0	7.3692738785856875
57.66148956970724	3.1184041874746447	4.0	216.12652763029516	17.853846843563115	4.0	113.39931578753108	24.841475964771277	4.0	55.986946373730014	35.0	7.0	7.978572471628984
55.59762243613951	2.767596027241362	4.0	154.79037313730612	17.146161201282386	4.0	187.00517949993198	25.516272070010675	4.0	47.363231826891806	35.0	7.0	7.924939453133029
51.19282300412996	4.082856932651938	4.0	114.4661399894708	17.842842776890798	4.0	207.7755458679537	26.685008579583226	4.0	43.75933988670594	35.0	7.0	7.7042323812079765
52.863104097269776	5.939510146738362	4.0	129.79854586136025	16.995989952994755	4.0	219.02373725981147	25.51072980459017	4.0	53.79661845315678	35.0	7.0	8.311365291718676
84.0857616581249	12.0	4.0	213.52632119550609	22.460592285526936	4.0	114.61346286352185	28.595197369429798	4.0	49.09421666067807	35.0	7.0	11.44378960498333
97.8636948189446	12.0	4.0	237.06385266340823	18.837227568287087	4.0	181.85071767361774	27.858662446996938	4.0	94.03501097227353	35.0	7.0	11.907308101982387
124.72904301145088	12.0	4.0	273.4340579653467	19.71601216256165	4.0	394.22842972329124	28.06254097706938	4.0	84.99515990290338	35.0	7.0	12.989680496324572
142.35427266363385	12.0	4.0	395.72788257211323	19.94416516030019	4.0	318.8300480226201	29.557945728273324	4.0	162.392338570421	35.0	7.0	15.201877772776735
315.6938434975192	12.0	4.0	1223.40376301338	20.63847590147032	4.0	760.9386575302144	30.20845013741038	4.0	295.58711977266097	35.0	7.0	17.086112050829925
414.0072642936389	12.0	4.0	2654.5759088890613	20.742801301186077	4.0	1405.4042504403023	28.10099570586996	4.0	334.20718814177314	35.0	7.0	21.61734454163023
372.6079906189634	12.0	4.0	2738.1721246988814	19.12581141516827	4.0	886.5003675449519	26.715101385660144	4.0	238.0620650829631	35.0	7.0	24.41406572766302
194.23913199413445	12.0	4.0	1532.9525532964576	18.601957834753627	4.0	531.8533652283554	28.71487449629631	4.0	163.35046688385307	35.0	7.0	23.786687884853492
