emline	sig(los)	sig(pos)	V(los)	sig(los) uw	sig(pos) uw	V(los) uw
siil	7.292324542999268	3.448885917663574	-3.270350694656372	7.352692127227783	3.630871534347534	-3.461132526397705
nii	6.364699840545654	3.7164952754974365	-3.8263564109802246	6.548010349273682	3.849541664123535	-3.8090124130249023
ha	8.237160682678223	3.846348524093628	-8.994579315185547	8.609402656555176	4.017642498016357	-8.719557762145996
oiii	5.766437530517578	3.8916285037994385	-9.561678886413574	6.242311000823975	3.992300510406494	-9.45217514038086
