time	vmean	d vmean	vsig	d vsig
3	-9.088604372841127	0.1036984447512997	2.4058700361526935	0.02348145092593226
4	-5.7452885498419946	1.7778472670318728	3.754092415143961	0.638368022971
5	-1.4064288519839578	3.378011493157029	4.449254829263556	0.9532294244209745
6	-1.2350331190121444	3.4925579438035452	5.008978560489277	2.0166501347828234
7	2.7499654971723633	3.112357926965633	4.403976477779812	1.7518350856922835
8	0.5776479798803772	3.0774149140608715	5.474541069310294	1.6667875469448432
9	-0.34979346025691427	3.218274512485728	5.684248091733827	2.0526339212757705
10	-0.44532270009071934	3.3282675310058103	5.670674479226198	1.803669293262612
11	-1.1628354509777334	3.3220159146037544	6.036359460032311	1.7876238216536313
12	-1.6376044073285048	3.1826647704599953	6.395215020650273	1.714398860552565
13	-1.9359336713650381	3.095208644703901	6.4417220077106885	1.6320731366037404
14	-2.160369587754773	2.9579306576023527	6.401520431166363	1.5899298832993691
15	-2.4479763829982537	2.895516218615451	6.317683281148788	1.5273515119371535
16	-2.6288656066470524	2.9580997222164793	6.1523584567375025	1.4870703317144172
17	-2.7310471324044814	2.9826326299965142	6.015264911414622	1.4091929054342565
18	-2.8567386314662317	2.94367391027254	5.880285833541846	1.2837008920472515
19	-2.972958871608346	2.8431068060726763	5.8060008316663865	1.2428415742174879
20	-3.066330814748373	2.6777772650502407	5.726252117018251	1.269673365944807
21	-3.1467295047214305	2.5588085409618575	5.628080592686078	1.2730220953799152
22	-3.2101684656409826	2.4143086105476317	5.507864270144964	1.2383237939205727
23	-3.298215773143356	2.29097302750945	5.337532899378373	1.2277404568899175
24	-3.442059837574568	2.22763451435193	5.191661510428941	1.1939799717337873
25	-3.6115233175862858	2.225628654127363	5.0698951990740255	1.1336845587635391
26	-3.7787495775040596	2.2885192424374194	4.961908412048538	1.0817520645781102
27	-3.9555118479412403	2.353656318043593	4.872282251484946	1.03724216337403
28	-4.108339092325767	2.406133485918445	4.807154552646898	0.9993001111688972
29	-4.227433436340396	2.461032377938641	4.776497434299745	0.9875812120723788
30	-4.341396567209056	2.505791874645392	4.756141539519817	0.9935873251140093
