time	vmean	d vmean	vsig	d vsig
3	-0.409403592492906	0.5133061872360958	2.1013786159408996	0.024791141367426994
4	-3.691014934720388	1.4920574023827375	2.563118211208305	0.21142311809871234
5	-2.556849663740402	1.6611890182078681	2.6213273726324133	0.25406855792975214
6	-6.417668953834517	3.094253959429037	6.52329924514179	2.2179641546240902
7	-2.6301963369422974	3.190267818981121	8.391853478595316	3.082116028072741
8	-1.541114591445406	3.4072541424389184	6.548863014567103	2.153229006339499
9	-0.06417319058049022	3.7964959401963343	5.474847809417744	1.9785970926837602
10	1.138309455542393	3.627447617556406	5.892289778857623	2.0730905725844373
11	1.7788204005706616	3.9684875433101823	6.042310816093355	2.037791654003264
12	1.8822005441107545	3.9410172913328423	6.2655218054246244	2.0944899670129398
13	1.9999387214339825	4.126739661937769	6.512817009922606	1.918049948114619
14	2.0942593549744766	4.300523492028644	6.457688896929932	1.7361135099048721
15	2.1642382390160617	4.3696997209756985	6.3493580181847635	1.5907156481829643
16	2.1494497503035555	4.2622638444031145	6.317965820455102	1.6048748386834366
17	2.1211010961502055	4.083804475935259	6.285086382146548	1.6109521511619458
18	2.060044900754166	3.8755876363428046	6.297486433448792	1.602155963537737
19	1.9888468494893974	3.690732013578527	6.287048378731984	1.567930542944116
20	1.9817827430210295	3.5528326803864267	6.2641771252923535	1.5495395664711487
21	1.9743577533197407	3.3996552792537784	6.256218460772908	1.5915147970848438
22	2.0232036086774503	3.2097535701260145	6.228117282072191	1.6264494944748467
23	2.0412344553411312	3.0750763551332563	6.191003262295716	1.5766039719385865
24	2.025739347096576	2.9243174082675574	6.141710762635463	1.5363374528831437
25	2.049488545722529	2.768035408013316	6.087328871213263	1.5048397547457513
26	2.0835469067743633	2.6519836670859336	5.993975163360834	1.4453132860871318
27	2.107897390497455	2.5636511789595042	5.886980676790304	1.3897631464286018
28	2.1353002582331753	2.5245683750018957	5.783856860702932	1.3060116993531572
29	2.1640348018647955	2.484318622024585	5.658051003533033	1.2123415393226258
30	2.176326137151787	2.4508267815130793	5.510471321995527	1.091190485234539
