time	vmean	d vmean	vsig	d vsig
3	-1.9837387800393937	0.2605673051937616	2.215365367506526	0.026293463185344125
4	-5.131323461480102	0.8505372065320279	3.624610246790884	0.23980868377167971
5	-5.799543014967343	1.994174181761974	4.887124013412823	0.7717701322207925
6	-7.216538576476161	2.3059202426354983	4.730846329149297	1.0660980915672755
7	-6.5663551049925255	2.7837956003852464	5.0013945764837	1.2978196685147345
8	-6.044687221473542	2.424830982205002	5.186428925442379	1.3656365886085595
9	-5.075015198159359	3.7154847472224217	5.581870532251641	1.7365377079307325
10	-4.377206636704589	4.029681270222662	5.84598163689998	1.657289668633826
11	-4.437928064019113	3.866545021438611	6.107928028561888	1.6119100832207156
12	-4.049278257237918	3.9199487134753404	6.398182722846114	1.5330541786946719
13	-3.8559812307726506	4.031045632117346	6.457137443675146	1.412184930163734
14	-3.4786861713061534	3.947515291579092	6.589140014826933	1.4022054521533018
15	-3.2337555299495415	3.7981842347822092	6.721187874548099	1.4505432096802426
16	-3.0651063573509107	3.6952071174361754	6.873884099137506	1.4696861777891697
17	-2.9535934114263807	3.6078848830846226	7.070096781842374	1.547909727493712
18	-2.9555084106005625	3.483096078659475	7.137294276693391	1.58970576429203
19	-3.0132159028380543	3.4026040049978636	7.236372585417197	1.6311553700456045
20	-2.917088192856843	3.304511861134282	7.24457647282984	1.6610170060406837
21	-2.783074190763912	3.239164229167811	7.2062560656894865	1.7031663239137116
22	-2.5954521841110387	3.082836121329009	7.160589876210976	1.63956682739972
23	-2.464572696234481	3.114521390320594	7.081780141160637	1.596582995774541
24	-2.338767033303297	3.0875716299669502	6.984190166263357	1.508300643105795
25	-2.245306509694232	3.068332535997363	6.875761820125403	1.4029536606349764
26	-2.1725141329323914	3.0644522126401403	6.809728198710319	1.3232713619742924
27	-2.19545517175515	3.0219826800355993	6.7960730667635145	1.2961086982870333
28	-2.159744708745597	2.9448795508068546	6.756296340535772	1.3182438043890183
29	-2.1250267284666817	3.0084835390153724	6.731293887850309	1.2746219858217804
30	-2.108548505036591	2.9880020247849655	6.597817062621477	1.258680387526548
