time	vmean	d vmean	vsig	d vsig
3	-1.0501176102977736	0.08167736851348519	2.5414205594806587	0.0781345040229059
4	-8.119823993190728	3.0223209114988787	2.4194122691094626	0.12007995376234815
5	-7.006262861719872	2.436279123010122	3.306543719388425	0.36177730514469997
6	-5.063565340396715	3.186825680427777	3.3572178910355555	0.6624286694484672
7	-0.7936953446105266	4.421935377081241	3.9256725660198475	0.866144927882903
8	1.2585637652381558	3.2157115497546176	4.47308379816646	1.357400290592811
9	1.5649138659811717	3.152949535702979	4.77971791687834	1.2922664245716704
10	1.1166245504616719	2.8426280691647507	4.945634542320578	1.5094617334605664
11	0.698108533934152	2.5753512985248186	5.144413134503566	1.6535809655376712
12	-0.1269648306330202	2.213417922188017	5.329859973694398	1.6438630456388215
13	-0.8522435759071115	2.1363816559072237	5.357976824928989	1.517888291199023
14	-0.9886473333103533	2.1849221785529376	5.494073518097373	1.4205995300687666
15	-1.0658105373853148	2.373441347749355	5.688372971897475	1.3755607386551543
16	-0.9937178187097319	2.5325593537696074	5.861285324465703	1.308612014100571
17	-0.8057634285509293	2.6051125222025946	5.943631078026398	1.2833488110014362
18	-0.5544350826822555	2.624721657242097	5.838414227620103	1.2253700997394799
19	-0.24968464893991227	2.7211867272564323	5.747396335956815	1.1561056616366912
20	0.13733504856723774	2.77011906999779	5.696602182302778	1.1227228078527993
21	0.5110220829408993	2.8162944325714947	5.658630455445822	1.1451194444254795
22	0.8129515290898826	2.913167936558121	5.686045663575119	1.2025496490607293
23	1.1052065650237368	3.0493771996664316	5.769315936790005	1.2477473799724375
24	1.3698235783914647	3.1660204041218694	5.8319823781161775	1.3055574389231122
25	1.5944984420754282	3.227272183874291	5.8159178588587865	1.3283011316656441
26	1.7795121900135198	3.265121288726571	5.839990146378687	1.3681668913365919
27	1.9410805038868348	3.3178934725078713	5.849200014965384	1.4216833189524765
28	2.1361927767798314	3.3355771409247073	5.848027453637484	1.4514993237483065
29	2.3209356719877756	3.3351781286502398	5.863356379570736	1.4887265742990903
30	2.5279931129393396	3.419466730726299	5.8564375431457645	1.4810315663790425
