  -40.0000000               0
  -38.0000000               1
  -36.0000000               0
  -34.0000000               1
  -32.0000000               1
  -30.0000000               1
  -28.0000000               1
  -26.0000000               1
  -24.0000000               1
  -22.0000000               0
  -20.0000000               0
  -18.0000000               1
  -16.0000000               0
  -14.0000000               1
  -12.0000000               2
  -10.0000000               2
  -8.00000000               5
  -6.00000000              10
  -4.00000000              71
  -2.00000000            8901
   0.00000000          188605
   2.00000000              16
   4.00000000              13
   6.00000000               8
   8.00000000               5
   10.0000000               3
   12.0000000               1
   14.0000000               2
   16.0000000               2
   18.0000000               1
   20.0000000               1
   22.0000000               1
   24.0000000               2
   26.0000000               0
   28.0000000               0
   30.0000000               0
   32.0000000               0
   34.0000000               1
   36.0000000               0
   38.0000000               0
   40.0000000               0
   42.0000000               0
   44.0000000               0
   46.0000000               1
   48.0000000               0
   50.0000000               0
   52.0000000               0
   54.0000000               0
   56.0000000               0
   58.0000000               0
   60.0000000               0
   62.0000000               0
   64.0000000               0
   66.0000000               0
   68.0000000               0
