          10  0.9627600      -3.151781              15          64
          11  0.4028827      -2.895925              12          64
          12  0.2510784      -2.907833              10          64
          13 -7.8546360E-02  -2.806891               8          64
          14 -0.3403034      -2.712861               7          64
          15 -0.5116670      -2.687918               6          64
          16 -0.6117317      -2.679552               5          64
          17 -0.8180194      -2.536297               4          64
          18 -0.9105520      -2.481154               4          64
          19 -0.9080002      -2.471563               4          64
          20 -0.8493123      -2.496512               3          64
          21 -0.7980517      -2.492219               3          64
          22 -0.7543498      -2.524693               3          64
          23 -0.7530606      -2.536279               3          64
          24 -0.7553138      -2.514471               3          64
          25 -0.7332993      -2.546096               3          64
          26 -0.6755487      -2.600807               3          64
          27 -0.6953029      -2.575196               3          64
          28 -0.6833885      -2.592091               3          64
          29 -0.7080841      -2.572155               3          64
          30 -0.6800186      -2.567035               2          64
