          10  0.4844647      -2.477986              15          64
          11  0.2625666      -2.384904              12          64
          12  0.1578419      -2.430053              10          64
          13 -0.1169618      -2.352281               8          64
          14 -0.1816064      -2.397464               7          64
          15 -0.4009402      -2.344687               6          64
          16 -0.4811078      -2.314243               5          64
          17 -0.4823576      -2.376606               4          64
          18 -0.6064731      -2.277817               4          64
          19 -0.6293050      -2.295349               4          64
          20 -0.6389689      -2.280206               3          64
          21 -0.6503239      -2.272940               3          64
          22 -0.6350117      -2.267139               3          64
          23 -0.5836307      -2.304599               3          64
          24 -0.6325499      -2.272925               3          64
          25 -0.5759135      -2.295864               3          64
          26 -0.5280550      -2.357886               3          64
          27 -0.4598494      -2.398794               3          64
          28 -0.4247240      -2.423199               3          64
          29 -0.4336157      -2.402696               3          64
          30 -0.4490855      -2.384521               2          64
