0010    -1.0221     0.7798     10     25    -1.0221     0.7798     10     25
0011    -0.9712     0.7286     10     31    -1.0049     0.7572     10     28
0012    -1.0653     0.7905     10     39    -1.0892     0.8101     10     33
0013    -1.0991     0.7927     10     47    -1.1518     0.8349     10     34
0014    -0.8275     0.6028     10     56    -0.8550     0.6243     10     39
0015    -0.9786     0.6810     10     64    -0.9657     0.6710     10     44
0016    -0.9689     0.6673     10     72    -0.9926     0.6850     10     47
0017    -0.8593     0.5966     10     79    -0.8992     0.6258     10     51
0018    -0.8423     0.5636     10     86    -0.8742     0.5865     10     57
0019    -0.8699     0.5661     10     92    -0.9059     0.5916     10     61
0020    -0.8457     0.5462     10     98    -0.9076     0.5901     10     60
0021    -0.7569     0.4934     10    104    -0.8251     0.5410     10     63
0022    -0.6990     0.4651     10    108    -0.7678     0.5128     10     68
0023    -0.6857     0.4494     10    112    -0.7765     0.5132     10     62
0024    -0.7001     0.4464     10    115    -0.7566     0.4865     10     63
0025    -0.7585     0.4736     10    118    -0.7918     0.4970     10     72
0026    -0.7884     0.4773     10    121    -0.8327     0.5084     10     69
0027    -0.8993     0.5252     10    123    -0.9185     0.5385     10     72
0028    -1.0178     0.5784     10    126    -1.0213     0.5808     10     72
0029    -1.0892     0.6072     10    130    -1.0771     0.5990     10     69
0030    -1.1382     0.6186     10    133    -1.1240     0.6091     10     71
