          10  0.9627524      -3.151778              15          64
          11  0.4027975      -2.895865              12          64
          12  0.2510323      -2.907801              10          64
          13 -7.8572057E-02  -2.806872               8          64
          14 -0.3403315      -2.712834               7          64
          15 -0.5116706      -2.687921               6          64
          16 -0.6115547      -2.679718               5          64
          17 -0.8180277      -2.536291               4          64
          18 -0.9105530      -2.481143               4          64
          19 -0.9079742      -2.471574               4          64
          20 -0.8492040      -2.496617               3          64
          21 -0.7980851      -2.492174               3          64
          22 -0.7543416      -2.524700               3          64
          23 -0.7531167      -2.536230               3          64
          24 -0.7552754      -2.514512               3          64
          25 -0.7332500      -2.546151               3          64
          26 -0.6756346      -2.600736               3          64
          27 -0.6952222      -2.575260               3          64
          28 -0.6834261      -2.592051               3          64
          29 -0.7080792      -2.572141               3          64
          30 -0.6800252      -2.567040               2          64
