amplitude_0	mean_0	stddev_0	amplitude_1	mean_1	stddev_1	amplitude_2	mean_2	stddev_2	amplitude_3
283.49593197453953	10.998531721121157	5.0	772.1885733518601	19.541763243441416	5.0	179.16603708447127	21.072317126476012	14.0	-2.2702979183721865
182.24731731329362	8.46623858456782	5.0	814.7465747521612	18.611576545118936	5.0	178.53015064344206	21.222465404650688	14.0	1.0459362071595868
198.8942705816527	9.18731671136143	5.0	758.127585181273	19.177216083170844	5.0	169.11367860012535	21.673136274424692	14.0	-1.1220127091285306
119.32782635879619	8.476378226317022	5.0	739.5982751860557	18.87591690993943	5.0	170.5127642522841	20.585102233958164	14.0	-1.0980099559620078
191.30251927426812	9.441982401337654	5.0	711.2444718553536	19.030667452440127	5.0	154.48219272172068	21.313975701672316	14.0	-0.9137481221546833
167.16122537609374	8.13895103159799	5.0	728.5655205739577	18.7851115022795	5.0	132.32592325053272	22.197792071096174	14.0	-0.5772029155642892
171.782445314075	8.352722265013817	5.0	659.0385403089009	18.82145241200189	5.0	153.87201089933657	21.421493547892386	14.0	-2.021169897336953
224.87562436978754	9.008011753131914	5.0	579.9333109330714	19.564758590436874	5.0	124.20452650059649	22.579632249857536	14.0	-0.038124710475187305
283.79645693684415	9.141919593101061	5.0	568.3634727533018	19.95235690796233	5.0	110.7662751348284	23.838444786077396	14.0	-0.3766520569825968
208.76321426904804	8.155845679304425	5.0	577.6666278881152	19.26275356959374	5.0	133.42583125515466	22.19279539886408	14.0	-0.1623297019314105
195.74681568247237	9.070711296140866	5.0	573.6201950129929	19.17867962181936	5.0	149.21976348403234	21.763249345991618	14.0	-0.4921489030393237
169.1976202504649	8.806860652669199	5.0	621.6186160500173	18.806353457409188	5.0	158.3223310093463	21.555002363298758	14.0	-2.2116078122473866
172.6836423935957	8.81384425228018	5.0	659.1258740122556	18.377441219201472	5.0	172.66179911503744	21.593135340500858	14.0	-1.4088922414336618
182.26975602841432	8.317108495055162	5.0	679.4540124923291	19.061897235727166	5.0	162.7362520029915	21.673416942279516	14.0	-0.18152004518778553
214.73137448005605	10.124970601997381	5.0	665.9506198249027	19.27053151045471	5.0	176.40342125617283	21.26507113606571	14.0	-0.829519843578734
152.20355822684473	8.731640968524404	5.0	681.9328467298906	18.707218436373527	5.0	201.68044416474777	21.572719654559744	14.0	-1.7545381370273347
